Path,Identifier,Year,Species,Microorganism
/MARISMa/2024/Escherichia/Coli/005495ea/0_B10,005495ea,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/005495ea/0_B9,005495ea,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/00b52d38/0_A3,00b52d38,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/00bb791d-1A/0_D9,00bb791d-1A,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/00d8848b-1E/0_C8,00d8848b-1E,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/00dcc650/0_B4,00dcc650,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/00dcc650/0_B5,00dcc650,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/0117719b-1A/0_A7,0117719b-1A,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/0117719b-1A/0_A9,0117719b-1A,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/0119da06/0_C10,0119da06,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/0186e129/0_F2,0186e129,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/01a08254/0_D2,01a08254,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/01a08254/0_D3,01a08254,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/01d04713/0_D7,01d04713,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/01fbd221-1E/0_B6,01fbd221-1E,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/01fbd221-1E/0_B7,01fbd221-1E,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/021558d1/0_F1,021558d1,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/0330bcb7-1A/0_A10,0330bcb7-1A,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/0330bcb7-1A/0_A11,0330bcb7-1A,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/03447399-1E/0_E4,03447399-1E,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/03ae2971/0_C8,03ae2971,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/03ae2971/0_C9,03ae2971,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/040f9221-2A/0_C6,040f9221-2A,2024,Escherichia coli,Escherichia coli ESBL
/MARISMa/2024/Escherichia/Coli/0468f114/0_B12,0468f114,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/047f42e8-1A/0_D11,047f42e8-1A,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/049d65a0/0_D7,049d65a0,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/04a020b4-2U/0_A3,04a020b4-2U,2024,Escherichia coli,Escherichia coli
/MARISMa/2024/Escherichia/Coli/04b58f01/0_D5,04b58f01,2024,Escherichia coli,Escherichia coli
